adm3_pcode,week_start_date,death_asthma,death_hhd,death_ihd,death_cardiorespiratory_total,year,city_pop_total,rate_ihd_per_100k,rate_hhd_per_100k,rate_asthma_per_100k,rate_cardiorespiratory_per_100k,iso_year,iso_week,heat_index_mean,heat_index_max,heat_index_p95,heat_index_std,extreme_heat_days_count,tave_mean,tave_max,tave_min,rh_mean,wind_speed_mean,pr_sum,solar_rad_mean,uv_rad_mean,pm25_mean,pm25_max,pm25_p95,pm25_std,pm10_mean,pm10_max,no2_mean,o3_mean,so2_mean,co_mean,heat_index_lag1,heat_index_lag2,heat_index_roll2w_mean,heat_index_ewma,pm25_lag1,pm25_lag2,pm25_roll2w_mean,pm25_ewma,o3_lag1,no2_lag1,compound_risk_hi95_pm25,compound_risk_himean_pm25,compound_risk_heatwave_pm25,compound_risk_heat_o3,city_pop_density_mean,pct_builtup_mean,pct_tree_cover_mean,pct_grassland_mean,pct_water_mean,uhi_proxy_ratio,rwi_mean,sevi_vulnerability_index,adm3_en,month,quarter,sin_week,cos_week,ph_season,uhi_thermal_amplification,compound_vulnerability_risk
PH015518000,2006-01-02,0.0,3.0,6.0,9.0,2006,137501.18017578125,4.363598910445431,2.1817994552227153,0.0,6.545398365668147,2006,1,27.345006362266368,29.112968047549433,28.80482168815313,1.0933586983423296,0,26.144791440325434,26.831030208806574,25.32822559975115,70.29991598493771,1.9969185568384276,0.0,202.84779431530356,23.414084762337446,27.542857142856946,34.519999999999754,33.793999999999755,5.337848237775536,39.232857142856865,48.919999999999646,5.059999999999964,37.055940881833116,0.617449632266976,0.10577714178332319,28.024520819400884,26.370068325449274,27.684763590833636,27.453692251966537,26.085714285714094,22.939999999999827,26.814285714285525,26.65593708443633,36.414682191540145,5.549999999999959,793.3670887822691,753.1596038064168,0.0,1078.8084228646883,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,1,1,0.12012861995484278,0.9927583364886667,Cool-Dry,48.76382333732061,2507.916794067355
PH015518000,2006-01-09,0.0,1.0,4.0,5.0,2006,137501.18017578125,2.909065940296954,0.7272664850742385,0.0,3.6363324253711924,2006,2,27.45541869488102,30.151030208806553,29.823188826089925,1.6704839575213801,0,26.022414379337203,27.790555964026733,24.982493802769632,75.06987617566911,1.4325031811332731,0.0,207.01801048270417,23.784214423756886,26.385714285714098,41.5399999999997,37.75999999999972,7.537888424801807,37.37571428571402,58.34999999999958,5.4071428571428175,36.72369931935341,0.7317844520489273,0.10336015258219713,27.345006362266368,28.024520819400884,27.400212528573704,27.454843213909527,27.542857142856946,26.085714285714094,26.964285714285523,26.475788551954842,37.055940881833116,5.059999999999964,786.90613945411,724.430833277784,0.0,1107.2573675569533,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,1,1,0.23851737782209795,0.9711382293354899,Cool-Dry,50.502563261124436,2487.4930538406475
PH015518000,2006-01-16,0.0,1.0,1.0,2.0,2006,137501.18017578125,0.7272664850742385,0.7272664850742385,0.0,1.454532970148477,2006,3,28.687604182284616,29.67292718792588,29.637093977133958,0.6564602919605115,0,26.868602909831313,27.62340143270572,26.347710495347762,74.57174167352834,1.7288505584922262,0.0,216.69503659806537,24.85167267881473,26.11714285714267,30.32999999999978,30.275999999999783,4.057140677397104,37.112857142856875,43.17999999999969,5.5357142857142465,34.76525755220144,0.9673115566156453,0.09739265781956218,27.45541869488102,27.345006362266368,28.071511438582828,28.27668385949292,26.385714285714098,27.542857142856946,26.251428571428388,26.23669142208006,36.72369931935341,5.4071428571428175,774.0362172713702,749.2382566578909,0.0,1031.5869560159636,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,1,1,0.3534516105057668,0.9354528096226339,Cool-Dry,49.7017472395774,2446.8098764857937
PH015518000,2006-01-23,0.0,0.0,5.0,5.0,2006,137501.18017578125,3.6363324253711924,0.0,0.0,3.6363324253711924,2006,4,28.16670593071198,30.18585437585196,30.07583803200254,1.4671520216157528,0,26.210894710298053,27.189133229687247,25.175339271448614,81.17184319985732,1.45100686045044,0.0,147.8409783351495,18.01650852003835,25.357142857142673,37.03999999999973,34.96999999999974,7.5643081073457274,36.352857142856884,53.22999999999961,4.872857142857108,35.55468637272195,0.6636953745119466,0.10128903024898325,28.687604182284616,27.45541869488102,28.427155056498307,28.20336524030563,26.11714285714267,26.385714285714098,25.737142857142675,25.650325712121802,34.76525755220144,5.5357142857142465,762.6373215257731,714.2271861001915,0.0,1073.248585226073,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,1,1,0.4632666879277925,0.8862189209537411,Cool-Dry,50.56089326467811,2410.7767683843667
PH015518000,2006-01-30,0.0,2.0,4.0,6.0,2006,137501.18017578125,2.909065940296954,1.454532970148477,0.0,4.363598910445431,2006,5,28.40018449103564,29.3386589849074,29.323955789662364,1.2718648892489495,0,26.615660506452677,27.051978698366234,25.65917408931081,73.91741031288497,2.434243609202436,0.04602903070963311,216.8523426985977,25.110647061637334,19.86999999999986,23.62999999999983,23.54299999999983,3.2382093817416813,28.429999999999797,33.84999999999976,4.3328571428571125,36.72840320334285,0.5867246550606496,0.10946042980731865,28.16670593071198,28.687604182284616,28.283445210873822,28.334578074125638,25.357142857142673,26.11714285714267,22.61357142857127,21.79677523737384,35.55468637272195,4.872857142857108,582.6670015405871,564.3116658368741,0.0,1077.5620966430565,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,1,1,0.5663721224098525,0.8241496338390009,Cool-Dry,49.14185257089731,1841.871662152525
PH015518000,2006-02-06,0.0,2.0,3.0,5.0,2006,137501.18017578125,2.1817994552227153,1.454532970148477,0.0,3.6363324253711924,2006,6,27.1480667528863,28.351071068430112,28.281359701260367,0.8624081435221644,0,26.2813923034342,26.91439078188894,25.617277110191488,64.85837880463136,3.154379107710954,0.0,205.39361012734685,24.636264412651965,21.23571428571413,25.509999999999817,25.416999999999817,3.7372577163068423,30.728571428571204,36.85999999999974,4.059999999999971,41.42465364600212,0.5160886480094141,0.10626015258219712,28.40018449103564,28.16670593071198,27.77412562196098,27.54357052663275,19.86999999999986,25.357142857142673,20.552857142857,21.422734602934035,36.72840320334285,4.3328571428571125,600.5748742274748,576.5085889737885,0.0,1174.4332995029088,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,2,1,0.6612746042265288,0.7501439180617594,Cool-Dry,47.487656316825415,1898.4803308161065
PH015518000,2006-02-13,0.0,2.0,9.0,11.0,2006,137501.18017578125,6.545398365668147,1.454532970148477,0.0,7.9999313358166235,2006,7,29.47384295076575,30.556287761008235,30.420291846970592,0.9348518600641199,0,27.610567638204895,28.175339271448593,26.857236250567926,68.14124532585195,2.1625650932984506,0.32061487668711786,229.25498511461856,27.102046447620495,24.108571428571256,29.41999999999979,29.16799999999979,3.9389229855017556,34.23571428571404,41.5099999999997,6.354285714285668,36.4850367931714,0.5611854083472343,0.10126294847741137,27.1480667528863,28.40018449103564,28.310954851826036,28.830418809388085,21.23571428571413,19.86999999999986,22.672142857142696,23.213292486692183,41.42465364600212,4.059999999999971,733.3897788706744,710.5722480530275,0.0,1114.8472832231184,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,2,1,0.7465996296984081,0.6652736226051653,Cool-Dry,51.18136411885221,2318.3222105295554
PH015518000,2006-02-20,0.0,1.0,4.0,5.0,2006,137501.18017578125,2.909065940296954,0.7272664850742385,0.0,3.6363324253711924,2006,8,29.757389260343665,30.93249380276959,30.91334335741093,0.9363265447860939,0,27.838658984907415,28.321978698366223,27.337710495347753,67.67674698543998,2.346173315041548,0.6299249840423022,245.1937762518649,28.677601886469926,25.097142857142675,32.679999999999765,31.14399999999977,4.908213233230274,35.69999999999975,46.97999999999966,6.0728571428570985,35.70668612363001,0.5205678829707694,0.0856195078712181,29.47384295076575,27.1480667528863,29.615616105554718,29.448399110025136,24.108571428571256,21.23571428571413,24.60285714285697,24.469192733659177,36.4850367931714,6.354285714285668,775.8365944328447,746.8254493224482,0.0,1104.496847236624,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,2,1,0.8211114085783636,0.5707679517128266,Cool-Dry,51.81150409389428,2452.5010580116714
PH015518000,2006-02-27,2.0,0.0,3.0,5.0,2006,137501.18017578125,2.1817994552227153,0.0,1.454532970148477,3.6363324253711924,2006,9,28.547716332436824,29.64960747446706,29.472038380731263,0.6322434314006683,0,26.98912155550909,27.946762005788088,26.05814388050404,71.52981196768926,2.853842950765942,0.0,245.96044447401846,28.860941407010667,22.51142857142841,26.79999999999981,26.53299999999981,3.3456311241748478,32.16999999999977,38.40999999999972,3.9828571428571142,40.90672698325352,0.7543284802538717,0.1078109063557345,29.757389260343665,29.47384295076575,29.152552796390253,28.84794392496626,25.097142857142675,24.108571428571256,23.804285714285548,23.164016625505333,35.70668612363001,6.0728571428570985,663.4576868622285,642.6498770950518,0.0,1212.868398118657,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,2,1,0.8837307624058365,0.4679956619217736,Cool-Dry,49.66268703844897,2097.2595139896225
PH015518000,2006-03-06,0.0,1.0,7.0,8.0,2006,137501.18017578125,5.090865395519669,0.7272664850742385,0.0,5.818131880593908,2006,10,30.791551150299007,31.65490588629229,31.489621339424392,0.6482444388975755,0,27.94577849369395,28.365298411825037,27.58719539094437,73.54023702483701,1.5118992749339975,0.0,245.68210882482487,28.40558337883493,27.779999999999802,39.47999999999971,37.08599999999973,6.5189135086556185,39.508571428571145,55.90999999999959,5.514285714285675,37.64422963920934,0.7756340194871212,0.09831198087403317,28.547716332436824,29.757389260343665,29.669633741367925,30.143682075188092,22.51142857142841,25.097142857142675,25.14571428571411,26.241338875168314,40.90672698325352,3.9828571428571142,874.7816808092034,855.3892909553003,0.0,1191.6245463911466,3523.022445956143,32.22691273425974,19.230104989585904,10.865729265513986,39.84315803565673,1.6749863242276073,0.612958680529158,3.1611051548870406,Dagupan City,3,1,0.9335507546013952,0.3584452379139183,Hot-Dry,53.02153445425157,2765.2768806067224
